run	rta	mcs	dna	density	phix	correction	q30	machine	observed mbp
121203	1.16.18	2.0.5	9	743	49.6	Adaptive	57.0	2.94	5.6
121205	1.16.18	2.0.5	8	607	59.9	Adaptive	64.5	1.37	3.9
121207	1.16.18	2.0.5	6	567	59.2	Adaptive	63.3	1.50	3.7
130125	1.17.22	2.1.13	4	192	82.8	Adaptive	94.4	0.61	0.4
130211	1.17.22	2.1.13	4	387	68.9	Hardcoded	92.0	0.59	1.9
130220	1.17.22	2.1.13	10	702	58.8	Hardcoded	93.9	0.87	4.5
130306	1.17.22	2.1.13	10	781	42.3	Hardcoded	78.9	0.96	4.6
130401	1.17.28	2.2.0	10	1313	3.8	Adaptive	63.7	1.31	12.6
130403	1.17.28	2.2.0	5	1094	3.2	Adaptive	70.5	0.89	12.4
130417	1.17.28	2.2.0	3	839	6.2	Adaptive	74.6	0.92	10.5
130422	1.17.28	2.2.0	1.8	690	8.0	Adaptive	80.1	0.65	9.0
